,year,Ex 20:2/Dt 5:6,Ex 20:5,Ex 20:15/Dt 5:19,Ex 20:12/Dt 5:16/Ef 6:2,Ex 20:13/Dt 5:17,Ex 20:3/Dt 5:7,Ex 20:14/Dt 5:18,Dt 5:21,Ex 20:16/Dt 5:20,Dt 5:9,Ex 20:8
4,1925,0,0,6,3,11,0,3,3,1,0,1
8,1926,0,0,3,6,6,0,0,2,0,0,0
6,1927,0,2,7,2,11,0,3,0,0,2,1
3,1928,0,0,3,3,6,0,3,1,0,0,0
0,1929,1,1,5,4,16,0,3,2,1,0,0
2,1930,0,0,3,7,7,1,1,0,0,0,0
1,1931,0,0,6,0,6,0,1,1,0,0,0
13,1932,0,0,1,2,7,0,0,0,0,0,0
5,1933,1,0,1,2,5,1,0,0,0,0,0
7,1934,0,0,2,0,11,0,1,0,0,0,0
10,1935,0,1,2,2,6,0,0,0,0,1,0
9,1936,0,0,2,1,7,0,1,0,0,0,0
12,1937,0,0,2,0,2,0,0,0,0,0,0
14,1938,0,0,0,0,3,1,0,0,0,0,0
11,1939,0,0,4,4,3,0,1,1,0,0,0
